Length;Cycles;Cycles per byte
0;44447;44447,0000
1;46632;46632,0000
2;46634;23317,0000
3;46636;15545,3333
4;46638;11659,5000
5;46640;9328,0000
6;46642;7773,6667
7;46644;6663,4286
8;46646;5830,7500
9;46648;5183,1111
10;46650;4665,0000
11;46652;4241,0909
12;46654;3887,8333
13;46656;3588,9231
14;46658;3332,7143
15;46660;3110,6667
16;46662;2916,3750
17;46664;2744,9412
18;46666;2592,5556
19;46668;2456,2105
20;46670;2333,5000
21;46672;2222,4762
22;46674;2121,5455
23;46676;2029,3913
24;46678;1944,9167
25;46680;1867,2000
26;46682;1795,4615
27;46684;1729,0370
28;46686;1667,3571
29;46688;1609,9310
30;46690;1556,3333
31;46692;1506,1935
32;46694;1459,1875
33;46696;1415,0303
34;46698;1373,4706
35;46700;1334,2857
36;46702;1297,2778
37;46704;1262,2703
38;46706;1229,1053
39;46708;1197,6410
40;46710;1167,7500
41;46712;1139,3171
42;46714;1112,2381
43;46716;1086,4186
44;46718;1061,7727
45;46720;1038,2222
46;46722;1015,6957
47;46724;994,1277
48;46726;973,4583
49;46728;953,6327
50;46730;934,6000
51;46732;916,3137
52;46734;898,7308
53;46736;881,8113
54;46738;865,5185
55;46740;849,8182
56;77947;1391,9107
57;77949;1367,5263
58;77951;1343,9828
59;77953;1321,2373
60;77955;1299,2500
61;77957;1277,9836
62;77959;1257,4032
63;77963;1237,5079
64;77960;1218,1250
65;77965;1199,4615
66;77967;1181,3182
67;77969;1163,7164
68;77971;1146,6324
69;77973;1130,0435
70;77975;1113,9286
71;77977;1098,2676
72;77979;1083,0417
73;77981;1068,2329
74;77983;1053,8243
75;77985;1039,8000
76;77987;1026,1447
77;77989;1012,8442
78;77991;999,8846
79;77993;987,2532
80;77995;974,9375
81;77997;962,9259
82;77999;951,2073
83;78001;939,7711
84;78003;928,6071
85;78005;917,7059
86;78007;907,0581
87;78009;896,6552
88;78011;886,4886
89;78013;876,5506
90;78015;866,8333
91;78017;857,3297
92;78019;848,0326
93;78021;838,9355
94;78023;830,0319
95;78025;821,3158
96;78027;812,7812
97;78029;804,4227
98;78031;796,2347
99;78033;788,2121
100;78035;780,3500
101;78037;772,6436
102;78039;765,0882
103;78041;757,6796
104;78043;750,4135
105;78045;743,2857
106;78047;736,2925
107;78049;729,4299
108;78051;722,6944
128;109293;853,8516
256;171959;671,7148
319;203295;637,2884
382;234624;614,1990
445;265955;597,6517
508;297286;585,2087
571;328617;575,5114
634;359948;567,7413
697;391279;561,3759
760;422610;556,0658
823;422736;513,6525
886;454067;512,4910
949;485398;511,4837
1012;516729;510,6018
1075;548060;509,8233
1390;704715;506,9892
1516;767377;506,1854
1536;798619;519,9342
1831;924032;504,6597
2020;1018025;503,9728
2146;1080687;503,5820
2272;1143349;503,2346
2335;1174680;503,0749
2461;1237342;502,7802
2776;1393997;502,1603
